ID1,ID2,X1,X2,Y
0,0,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3,G30.8__G30.9__G30.0__G30.1,1
1,1,O=S(=O)(C1=CC=CC=C1)C1=CN=C2C(C=CC=C2N2CCNCC2)=C1__CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,G30.8__G30.9__G30.0__G30.1,1
2,2,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,G30.8__G30.9__G30.0__G30.1__F20.81__F21__F34.0__F34.1__F42.3__F45.0__F51.5,0
3,3,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,M32.9__M32.0__M32.11__M32.12__M32.13__M32.14__M32.8,0
4,4,CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1__COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1C(CC2)NC(C)=O,J45.998__J82.83__J45.909__J45.991__J45.20__J45.30__J45.40__J84.115__M05.10__M05.111__M05.112__M05.119__M05.121__M05.122,0
5,5,S1SSSSSSS1,A52.00__A52.09__A50.54__Z01.810__Q87.418__Z13.6__R94.30__I11.0__I11.9__I27.1__I51.9__I09.9__I27.9__I01.8__I73.9__I73.89__O88.22__O88.23__O88.211__O88.212__O88.213__O88.219__I73.9__D57.03__D57.213__G46.8__I73.89__O88.22__O88.23__O88.211__O88.212__O88.213__O88.219,1
6,6,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1__NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1,C05.2__C10.0__C16.0__C16.4__C17.0__C17.1__C17.2,1
7,7,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1__NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1,C05.2__C10.0__C16.0__C16.4__C17.0__C17.1__C17.2,0
8,8,CS(=O)(=O)OCCCCOS(C)(=O)=O__ClCCN(CCCl)P1(=O)NCCCO1__ClCCN(CCCl)P1(=O)NCCCO1__COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O__OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1__[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O__OS(=O)(=O)CCS__OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C1=C(C(O)=CC=C1O)C2=O,C95.91__C95.92__Z80.6__Z85.6__C90.11__C90.12__C91.01,1
9,9,CC[C@]1(O)C[C@@H]2CN(C1)CCC1=C(NC3=CC=CC=C13)[C@@](C2)(C(=O)OC)C1=C(OC)C=C2N(C=O)[C@@H]3[C@]4(CCN5CC=C[C@](CC)([C@@H]45)[C@@H](OC(C)=O)[C@]3(O)C(=O)OC)C2=C1__ClCCNC(=O)N(CCCl)N=O__N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O__ClCCN(CCCl)P1(=O)NCCCO1__[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,C90.01__C90.02__C90.00__C90.01__C90.02__C90.00__C90.01__C90.02__C90.00,0
10,10,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1__NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1,C05.2__C10.0__C16.0__C16.4__C17.0__C17.1__C17.2,0
11,11,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1__NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1__C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,C05.2__C10.0__C16.0__C16.4__C17.0__C17.1__C17.2,0
12,12,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F__CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,C61__D29.1__D40.0__Z15.03__Z80.42__Z85.46__Z12.5,0
13,13,N[C@@H](CCCNC(N)=N)C(O)=O__[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC,C78.00__C78.01__C78.02__D14.30__D14.31__D14.32__C34.2,0
